,购买金额,累计购买金额
752,489.6,5284.01
753,43.19,1664.239
754,658.38,1073.88
755,401.28,2760.99
756,1931.83,2216.6
757,161.98,1177.13
758,69.99,5267.83
759,2262.7,11597.9
760,196.97,469.812
761,488.97,2282.97
762,76.98,4540.0
763,57.97,1062.945
764,75.89,9199.37
765,129.99,3810.894
766,240.52,3029.517
767,295.98,2340.8
768,300.99,24.99
769,239.0,1558.98
770,908.98,3756.396
771,28.98,4881.712
772,406.32,4461.4
773,27.99,489.38
774,1452.98,3587.91
775,1711.6,299.0
776,723.1,1117.35
777,379.99,2815.494
778,1189.3,1384.48
779,98.0,1390.577
780,49.99,1819.51
781,404.99,8512.742
782,149.0,898.47
783,451.69,1568.979
784,4032.92,1529.85
785,497.3,2838.39
786,120.56,621.937
787,41.98,745.002
788,30.99,762.98
789,140.0,1412.797
790,104.99,1261.98
791,579.98,2177.98
792,2059.91,2060.97
793,526.93,4536.54
794,37.98,2278.631
795,804.97,4196.877
796,208.589,4892.681
797,688.97,3582.37
798,425.98,585.85
799,26.99,518.979
800,132.98,1223.98
801,349.99,1611.312
802,239.0,1619.75
803,79.98,2016.457
804,26.59,2277.211
805,149.99,4107.25
806,149.99,1336.61
807,369.96,8965.51
808,36.98,1886.812
809,94.99,799.94
810,59.99,1713.26
811,41.48,591.25
812,112.49,3180.15
813,24.99,1295.96
814,489.98,2682.82
815,99.0,1104.42
816,39.98,643.614
817,239.0,2811.294
818,403.96,815.96
819,259.99,3827.834
820,133.96,3625.394
821,334.968,716.0
822,239.0,1740.082
823,229.98,3658.372
824,199.0,0.0
825,29.99,1967.067
826,43.19,673.94
827,918.92,1410.66
828,1436.95,1799.345
829,2100.0,1477.01
830,83.97,2544.94
831,209.29,2164.597
832,103.17,859.97
833,243.98,2372.97
834,625.27,1496.99
835,37.98,743.98
836,119.99,594.17
837,758.95,3841.317
838,223.92,1911.511
839,320.0,1824.6
840,71.18,2347.553
841,218.49,1657.52
842,74.98,0.0
843,82.98,3743.198
844,844.97,11597.9
845,349.99,514.577
846,327.97,1098.22
847,129.99,6443.796
848,107.96,5131.76
849,403.12,7119.459
850,314.99,1098.69
851,134.98,2387.74
852,129.0,2326.941
853,189.99,1778.08
854,293.99,4645.04
855,1076.26,2652.74
856,19.98,3012.677
857,194.98,0.0
858,14.99,2683.35
859,89.99,3600.63
860,140.0,2060.259
861,445.82,5313.167
862,719.72,6.9
863,120.56,1375.97
864,260.45,2704.48
865,94.02,0.0
866,542.75,0.0
867,86.03,4429.177
868,149.99,7896.815
869,239.0,3761.517
870,197.688,828.99
871,423.83,4067.93
872,53.98,4885.351
873,24.99,4751.201
874,69.99,2073.691
875,797.99,8438.682
876,1072.98,13.85
877,79.99,4720.54
878,54.99,5578.748
879,24.99,3172.897
880,1117.97,1225.915
881,169.99,550.23
882,149.99,6985.52
883,367.6,2458.637
884,179.99,689.98
885,99.96,0.0
886,249.99,1854.577
887,139.99,1279.13
888,808.89,568.99
889,344.99,4666.74
890,2499.98,11597.9
891,61.18,2927.767
892,349.99,3083.649
893,239.0,6691.601
894,347.02,1475.572
895,579.99,1599.611
896,81.98,4033.601
897,959.02,767.75
898,748.63,798.98
899,391.01,1140.22
900,269.0,7800.754
901,498.98,1575.98
902,239.97,6544.774
903,206.99,1515.511
904,698.86,1263.0
905,497.98,1529.99
906,1259.93,1651.96
907,1013.97,3203.307
908,449.99,1899.7
909,656.98,1389.07
910,249.99,2651.323
911,388.94,1213.527
912,149.99,1353.99
913,538.99,3079.652
914,1133.96,2946.334
915,310.356,457.0
916,112.99,3488.1
917,33.98,690.892
918,217.97,2719.33
919,874.97,2878.817
920,302.82,1702.441
921,688.97,1797.652
922,69.95,3398.28
923,35.98,6725.858
924,149.99,648.99
925,857.98,5638.74
926,368.95,2407.672
927,701.17,2767.784
928,69.99,1045.65
